Stasjon            Dato       Dyp Temperatur Salt        Kalibrert_temperatur Kalibrert_salt
Ingoy              22.03.1943 125 4.01                   4.01                               
Ingoy              27.03.1943 125 4.52       34.95       4.52                 34.95         
Ingoy              06.04.1943 125 4.46       34.74       4.46                 34.74         
Ingoy              14.04.1943 125 4.62       34.75       4.62                 34.75         
Ingoy              19.04.1943 125 4.63       34.79       4.63                 34.79         
Ingoy              29.04.1943 125 4.63       34.69       4.63                 34.69         
Ingoy              07.05.1943 125 5.02       34.83       5.02                 34.83         
Ingoy              17.05.1943 125 4.7        34.52       4.7                  34.52         
Ingoy              25.05.1943 125 5.36       34.82       5.36                 34.82         
Ingoy              15.06.1943 125 5.83       34.82       5.83                 34.82         
Ingoy              07.07.1943 125 5.95       34.64       5.95                 34.64         
Ingoy              15.07.1943 125 5.79       34.75       5.79                 34.75         
Ingoy              24.07.1943 125 6.41       34.51       6.41                 34.51         
Ingoy              04.08.1943 125 6.81       34.45       6.81                 34.45         
Ingoy              01.09.1943 125 6.85       34.74       6.85                 34.74         
Ingoy              10.09.1943 125 7.16       34.59       7.16                 34.59         
Ingoy              01.10.1943 125 7.6        34.67       7.6                  34.67         
Ingoy              15.10.1943 125 7.49       34.49       7.49                 34.49         
Ingoy              09.11.1943 125 7.36       34.56       7.36                 34.56         
Ingoy              18.11.1943 125 7.01       34.67       7.01                 34.67         
Ingoy              01.12.1943 125 6.87       34.6        6.87                 34.6          
Ingoy              04.03.1944 125 4.24       34.2        4.24                 34.2          
Ingoy              16.03.1944 125 4.73       34.38       4.73                 34.38         
Ingoy              27.03.1944 125 4.15       34.24       4.15                 34.24         
Ingoy              04.04.1944 125 4.22       34.35       4.22                 34.35         
Ingoy              14.04.1944 125 4.44       34.42       4.44                 34.42         
Ingoy              29.04.1944 125 4.89       34.64       4.89                 34.64         
Ingoy              14.06.1944 125 5.14       34.66       5.14                 34.66         
Ingoy              19.07.1944 125 6.07       34.82       6.07                 34.82         
Ingoy              31.07.1944 125 6.15       34.83       6.15                 34.83         
Ingoy              11.09.1944 125 7.69       34.66       7.69                 34.66         
Ingoy              05.10.1944 125 7.25                   7.25                               
Ingoy              28.07.1949 125 6.56       34.79       6.56                 34.79         
Ingoy              17.08.1949 125 6.44       34.5        6.44                 34.5          
Ingoy              10.11.1949 125 7.56                   7.56                               
Ingoy              21.11.1949 125 7.33       34.77       7.33                 34.77         
Ingoy              24.08.1968 125 6.81                   6.81                               
Ingoy              07.09.1968 125 7.31       34.463      7.31                 34.463        
Ingoy              21.09.1968 125 7.76       34.661      7.76                 34.661        
Ingoy              05.10.1968 125 7.03       34.888      7.03                 34.888        
Ingoy              22.10.1968 125 6.23       34.831      6.23                 34.831        
Ingoy              04.11.1968 125 6.1        35.014      6.1                  35.014        
Ingoy              18.11.1968 125 5.88       34.923      5.88                 34.923        
Ingoy              06.12.1968 125 5.89       34.82       5.89                 34.82         
Ingoy              27.12.1968 125 6.17       34.891      6.17                 34.891        
Ingoy              18.01.1969 125 4.96       34.727      4.96                 34.727        
Ingoy              11.03.1969 125 3.32       34.224      3.32                 34.224        
Ingoy              31.03.1969 125 4.5        34.582      4.5                  34.582        
Ingoy              19.04.1969 125 3.99       34.587      3.99                 34.587        
Ingoy              05.05.1969 125 4.18                   4.18                               
Ingoy              19.05.1969 125 4.68       34.736      4.68                 34.736        
Ingoy              01.06.1969 125 5.07                   5.07                               
Ingoy              15.06.1969 125 5.6        34.833      5.6                  34.833        
Ingoy              03.07.1969 125 5.38       34.774      5.38                 34.774        
Ingoy              02.08.1969 125 6.65       34.755      6.65                 34.755        
Ingoy              18.08.1969 125 7.2        34.521      7.2                  34.521        
Ingoy              01.09.1969 125 6.87       34.91       6.87                 34.91         
Ingoy              15.09.1969 125 6.91       34.878      6.91                 34.878        
Ingoy              29.09.1969 125 8.09       34.731      8.09                 34.731        
Ingoy              15.10.1969 125 8.39       34.409      8.39                 34.409        
Ingoy              30.10.1969 125 7.79       34.668      7.79                 34.668        
Ingoy              17.11.1969 125 6.98                   6.98                               
Ingoy              03.12.1969 125 6.78       34.55       6.78                 34.55         
Ingoy              20.12.1969 125 6.42       34.916      6.42                 34.916        
Ingoy              08.01.1970 125 5.81       34.662      5.81                 34.662        
Ingoy              22.01.1970 125 5.54       34.853      5.54                 34.853        
Ingoy              10.02.1970 125 4.97       34.87       4.97                 34.87         
Ingoy              25.02.1970 125 4.06       34.641      4.06                 34.641        
Ingoy              11.03.1970 125 4.19       34.784      4.19                 34.784        
Ingoy              28.03.1970 125 4.36       34.851      4.36                 34.851        
Ingoy              23.04.1970 125 4.14       34.93       4.14                 34.93         
Ingoy              14.05.1970 125 4.51       35.004      4.51                 35.004        
Ingoy              08.06.1970 125 4.98       34.923      4.98                 34.923        
Ingoy              24.06.1970 125 5.09       34.837      5.09                 34.837        
Ingoy              04.07.1970 125 5.48       34.865      5.48                 34.865        
Ingoy              31.07.1970 125 6.25       34.76       6.25                 34.76         
Ingoy              14.08.1970 125 6.47       34.675      6.47                 34.675        
Ingoy              29.08.1970 125 7.38       34.553      7.38                 34.553        
Ingoy              14.09.1970 125 6.55       34.813      6.55                 34.813        
Ingoy              27.09.1970 125 7.23       34.612      7.23                 34.612        
Ingoy              17.10.1970 125 7.23       34.28       7.23                 34.28         
Ingoy              09.11.1970 125 7.09                   7.09                               
Ingoy              21.11.1970 125 6.48       34.362      6.48                 34.362        
Ingoy              13.12.1970 125 5.76       34.25       5.76                 34.25         
Ingoy              29.12.1970 125 5.54       34.695      5.54                 34.695        
